2023-11-17 06:23:12,464 INFO  [org.apache.activemq.artemis.integration.bootstrap] AMQ101000: Starting ActiveMQ Artemis Server version 2.31.2
2023-11-17 06:23:12,563 INFO  [org.apache.activemq.artemis.core.server] AMQ221000: live Message Broker is starting with configuration Broker Configuration (clustered=false,journalDirectory=data/journal,bindingsDirectory=data/bindings,largeMessagesDirectory=data/large-messages,pagingDirectory=data/paging)
2023-11-17 06:23:12,648 INFO  [org.apache.activemq.artemis.core.server] AMQ221013: Using NIO Journal
2023-11-17 06:23:12,856 INFO  [org.apache.activemq.artemis.core.server] AMQ221057: Global Max Size is being adjusted to 1/2 of the JVM max size (-Xmx). being defined as 1073741824
2023-11-17 06:23:12,945 INFO  [org.apache.activemq.artemis.core.server] AMQ221043: Protocol module found: [artemis-server]. Adding protocol support for: CORE
2023-11-17 06:23:12,948 INFO  [org.apache.activemq.artemis.core.server] AMQ221043: Protocol module found: [artemis-amqp-protocol]. Adding protocol support for: AMQP
2023-11-17 06:23:12,949 INFO  [org.apache.activemq.artemis.core.server] AMQ221043: Protocol module found: [artemis-hornetq-protocol]. Adding protocol support for: HORNETQ
2023-11-17 06:23:12,951 INFO  [org.apache.activemq.artemis.core.server] AMQ221043: Protocol module found: [artemis-mqtt-protocol]. Adding protocol support for: MQTT
2023-11-17 06:23:12,953 INFO  [org.apache.activemq.artemis.core.server] AMQ221043: Protocol module found: [artemis-openwire-protocol]. Adding protocol support for: OPENWIRE
2023-11-17 06:23:12,954 INFO  [org.apache.activemq.artemis.core.server] AMQ221043: Protocol module found: [artemis-stomp-protocol]. Adding protocol support for: STOMP
2023-11-17 06:23:13,072 INFO  [org.apache.activemq.artemis.core.server] AMQ221034: Waiting indefinitely to obtain live lock
2023-11-17 06:23:13,073 INFO  [org.apache.activemq.artemis.core.server] AMQ221035: Live Server Obtained live lock
2023-11-17 06:23:14,656 INFO  [org.apache.activemq.artemis.core.server] AMQ221080: Deploying address DLQ supporting [ANYCAST]
2023-11-17 06:23:14,662 INFO  [org.apache.activemq.artemis.core.server] AMQ221003: Deploying ANYCAST queue DLQ on address DLQ
2023-11-17 06:23:14,680 INFO  [org.apache.activemq.artemis.core.server] AMQ221080: Deploying address ExpiryQueue supporting [ANYCAST]
2023-11-17 06:23:14,680 INFO  [org.apache.activemq.artemis.core.server] AMQ221003: Deploying ANYCAST queue ExpiryQueue on address ExpiryQueue
2023-11-17 06:23:15,591 INFO  [org.apache.activemq.artemis.core.server] AMQ221020: Started NIO Acceptor at 0.0.0.0:61616 for protocols [CORE,MQTT,AMQP,STOMP,HORNETQ,OPENWIRE]
2023-11-17 06:23:15,645 INFO  [org.apache.activemq.artemis.core.server] AMQ221020: Started NIO Acceptor at 0.0.0.0:5445 for protocols [HORNETQ,STOMP]
2023-11-17 06:23:15,706 INFO  [org.apache.activemq.artemis.core.server] AMQ221020: Started NIO Acceptor at 0.0.0.0:5672 for protocols [AMQP]
2023-11-17 06:23:15,748 INFO  [org.apache.activemq.artemis.core.server] AMQ221020: Started NIO Acceptor at 0.0.0.0:1883 for protocols [MQTT]
2023-11-17 06:23:15,795 INFO  [org.apache.activemq.artemis.core.server] AMQ221020: Started NIO Acceptor at 0.0.0.0:61613 for protocols [STOMP]
2023-11-17 06:23:15,808 INFO  [org.apache.activemq.artemis.core.server] AMQ221007: Server is now live
2023-11-17 06:23:15,809 INFO  [org.apache.activemq.artemis.core.server] AMQ221001: Apache ActiveMQ Artemis Message Broker version 2.31.2 [0.0.0.0, nodeID=89ced9c9-7e67-11ee-98bc-000516581727] 
2023-11-17 06:23:15,829 INFO  [org.apache.activemq.artemis] AMQ241003: Starting embedded web server
2023-11-17 06:23:17,108 INFO  [org.apache.activemq.hawtio.branding.PluginContextListener] Initialized activemq-branding plugin
2023-11-17 06:23:17,386 INFO  [org.apache.activemq.hawtio.plugin.PluginContextListener] Initialized artemis-plugin plugin
2023-11-17 06:23:19,022 INFO  [io.hawt.HawtioContextListener] Initialising hawtio services
2023-11-17 06:23:19,050 INFO  [io.hawt.system.ConfigManager] Configuration will be discovered via system properties
2023-11-17 06:23:19,072 INFO  [io.hawt.jmx.JmxTreeWatcher] Welcome to Hawtio 2.17.6
2023-11-17 06:23:19,087 INFO  [io.hawt.web.auth.AuthenticationConfiguration] Starting hawtio authentication filter, JAAS realm: "activemq" authorized role(s): "amq" role principal classes: "org.apache.activemq.artemis.spi.core.security.jaas.RolePrincipal"
2023-11-17 06:23:19,109 INFO  [io.hawt.web.auth.LoginRedirectFilter] Hawtio loginRedirectFilter is using 1800 sec. HttpSession timeout
2023-11-17 06:23:19,157 INFO  [io.hawt.web.proxy.ProxyServlet] Proxy servlet is disabled
2023-11-17 06:23:19,183 INFO  [io.hawt.web.servlets.JolokiaConfiguredAgentServlet] Jolokia overridden property: [key=policyLocation, value=file:/C:/Users/pç/Desktop/apache-artemis/broker/etc/\jolokia-access.xml]
2023-11-17 06:23:19,545 INFO  [org.apache.activemq.artemis] AMQ241001: HTTP Server started at http://localhost:8161
2023-11-17 06:23:19,546 INFO  [org.apache.activemq.artemis] AMQ241002: Artemis Jolokia REST API available at http://localhost:8161/console/jolokia
2023-11-17 06:23:19,548 INFO  [org.apache.activemq.artemis] AMQ241004: Artemis Console available at http://localhost:8161/console
2023-11-17 06:24:44,313 WARN  [org.apache.activemq.artemis.core.protocol.stomp] AMQ332069: Sent ERROR frame to STOMP client /[0:0:0:0:0:0:0:1]:51030: Connection reset
2023-11-17 06:24:44,314 WARN  [org.apache.activemq.artemis.core.server] AMQ222067: Connection failure has been detected: Connection reset [code=GENERIC_EXCEPTION]
2023-11-17 06:24:44,316 WARN  [org.apache.activemq.artemis.core.server] AMQ222061: Client connection failed, clearing up resources for session 01ae1dbe-852b-11ee-9ca5-000516581727
2023-11-17 06:24:44,322 WARN  [org.apache.activemq.artemis.core.server] AMQ222107: Cleared up resources for session 01ae1dbe-852b-11ee-9ca5-000516581727
2023-11-17 06:25:58,366 INFO  [io.hawt.web.auth.LoginServlet] Hawtio login is using 1800 sec. HttpSession timeout
2023-11-17 06:26:00,111 INFO  [io.hawt.web.auth.keycloak.KeycloakServlet] Keycloak integration is disabled
2023-11-17 06:26:03,991 INFO  [io.hawt.web.auth.LoginServlet] Logging in user: admin
2023-11-17 06:33:27,417 WARN  [org.apache.activemq.artemis.core.protocol.stomp] AMQ332069: Sent ERROR frame to STOMP client /[0:0:0:0:0:0:0:1]:51138: Connection reset
2023-11-17 06:33:27,421 WARN  [org.apache.activemq.artemis.core.server] AMQ222067: Connection failure has been detected: Connection reset [code=GENERIC_EXCEPTION]
2023-11-17 06:33:27,427 WARN  [org.apache.activemq.artemis.core.server] AMQ222061: Client connection failed, clearing up resources for session 45d70a60-852c-11ee-9ca5-000516581727
2023-11-17 06:33:27,433 WARN  [org.apache.activemq.artemis.core.server] AMQ222107: Cleared up resources for session 45d70a60-852c-11ee-9ca5-000516581727
2023-11-17 06:36:35,913 WARN  [org.apache.activemq.artemis.core.protocol.stomp] AMQ332069: Sent ERROR frame to STOMP client /[0:0:0:0:0:0:0:1]:51153: Connection reset
2023-11-17 06:36:35,914 WARN  [org.apache.activemq.artemis.core.server] AMQ222067: Connection failure has been detected: Connection reset [code=GENERIC_EXCEPTION]
2023-11-17 06:36:35,916 WARN  [org.apache.activemq.artemis.core.server] AMQ222061: Client connection failed, clearing up resources for session cb6c6da3-852c-11ee-9ca5-000516581727
2023-11-17 06:36:35,917 WARN  [org.apache.activemq.artemis.core.server] AMQ222107: Cleared up resources for session cb6c6da3-852c-11ee-9ca5-000516581727
2023-11-17 06:39:33,777 WARN  [org.apache.activemq.artemis.core.protocol.stomp] AMQ332069: Sent ERROR frame to STOMP client /[0:0:0:0:0:0:0:1]:51171: Connection reset
2023-11-17 06:39:33,779 WARN  [org.apache.activemq.artemis.core.server] AMQ222067: Connection failure has been detected: Connection reset [code=GENERIC_EXCEPTION]
2023-11-17 06:39:33,782 WARN  [org.apache.activemq.artemis.core.server] AMQ222061: Client connection failed, clearing up resources for session 2d64b085-852d-11ee-9ca5-000516581727
2023-11-17 06:39:33,784 WARN  [org.apache.activemq.artemis.core.server] AMQ222107: Cleared up resources for session 2d64b085-852d-11ee-9ca5-000516581727
2023-11-17 06:41:22,411 WARN  [org.apache.activemq.artemis.core.protocol.stomp] AMQ332069: Sent ERROR frame to STOMP client /[0:0:0:0:0:0:0:1]:51184: Connection reset
2023-11-17 06:41:22,421 WARN  [org.apache.activemq.artemis.core.server] AMQ222067: Connection failure has been detected: Connection reset [code=GENERIC_EXCEPTION]
2023-11-17 06:41:22,425 WARN  [org.apache.activemq.artemis.core.server] AMQ222061: Client connection failed, clearing up resources for session 602a2047-852d-11ee-9ca5-000516581727
2023-11-17 06:41:22,425 WARN  [org.apache.activemq.artemis.core.server] AMQ222107: Cleared up resources for session 602a2047-852d-11ee-9ca5-000516581727
2023-11-17 06:43:31,600 WARN  [org.apache.activemq.artemis.core.protocol.stomp] AMQ332069: Sent ERROR frame to STOMP client /[0:0:0:0:0:0:0:1]:51203: Connection reset
2023-11-17 06:43:31,605 WARN  [org.apache.activemq.artemis.core.server] AMQ222067: Connection failure has been detected: Connection reset [code=GENERIC_EXCEPTION]
2023-11-17 06:43:31,606 WARN  [org.apache.activemq.artemis.core.server] AMQ222061: Client connection failed, clearing up resources for session bb980a59-852d-11ee-9ca5-000516581727
2023-11-17 06:43:31,607 WARN  [org.apache.activemq.artemis.core.server] AMQ222107: Cleared up resources for session bb980a59-852d-11ee-9ca5-000516581727
2023-11-17 06:44:27,407 WARN  [org.apache.activemq.artemis.core.protocol.stomp] AMQ332069: Sent ERROR frame to STOMP client /[0:0:0:0:0:0:0:1]:51218: Connection reset
2023-11-17 06:44:27,410 WARN  [org.apache.activemq.artemis.core.server] AMQ222067: Connection failure has been detected: Connection reset [code=GENERIC_EXCEPTION]
2023-11-17 06:44:27,410 WARN  [org.apache.activemq.artemis.core.server] AMQ222061: Client connection failed, clearing up resources for session dfb6419b-852d-11ee-9ca5-000516581727
2023-11-17 06:44:27,410 WARN  [org.apache.activemq.artemis.core.server] AMQ222107: Cleared up resources for session dfb6419b-852d-11ee-9ca5-000516581727
2023-11-17 06:47:04,931 WARN  [org.apache.activemq.artemis.core.protocol.stomp] AMQ332069: Sent ERROR frame to STOMP client /[0:0:0:0:0:0:0:1]:51234: Connection reset
2023-11-17 06:47:04,933 WARN  [org.apache.activemq.artemis.core.server] AMQ222067: Connection failure has been detected: Connection reset [code=GENERIC_EXCEPTION]
2023-11-17 06:47:04,933 WARN  [org.apache.activemq.artemis.core.server] AMQ222061: Client connection failed, clearing up resources for session 3211051d-852e-11ee-9ca5-000516581727
2023-11-17 06:47:04,933 WARN  [org.apache.activemq.artemis.core.server] AMQ222107: Cleared up resources for session 3211051d-852e-11ee-9ca5-000516581727
2023-11-17 06:48:44,050 WARN  [org.apache.activemq.artemis.core.protocol.stomp] AMQ332069: Sent ERROR frame to STOMP client /[0:0:0:0:0:0:0:1]:51249: Connection reset
2023-11-17 06:48:44,052 WARN  [org.apache.activemq.artemis.core.server] AMQ222067: Connection failure has been detected: Connection reset [code=GENERIC_EXCEPTION]
2023-11-17 06:48:44,055 WARN  [org.apache.activemq.artemis.core.server] AMQ222061: Client connection failed, clearing up resources for session 4ceacca0-852e-11ee-9ca5-000516581727
2023-11-17 06:48:44,056 WARN  [org.apache.activemq.artemis.core.server] AMQ222107: Cleared up resources for session 4ceacca0-852e-11ee-9ca5-000516581727
2023-11-17 06:49:12,944 WARN  [org.apache.activemq.artemis.core.protocol.stomp] AMQ332069: Sent ERROR frame to STOMP client /[0:0:0:0:0:0:0:1]:51263: Connection reset
2023-11-17 06:49:12,948 WARN  [org.apache.activemq.artemis.core.server] AMQ222067: Connection failure has been detected: Connection reset [code=GENERIC_EXCEPTION]
2023-11-17 06:49:12,950 WARN  [org.apache.activemq.artemis.core.server] AMQ222061: Client connection failed, clearing up resources for session 8453acc2-852e-11ee-9ca5-000516581727
2023-11-17 06:49:12,951 WARN  [org.apache.activemq.artemis.core.server] AMQ222107: Cleared up resources for session 8453acc2-852e-11ee-9ca5-000516581727
2023-11-17 07:36:19,486 WARN  [org.apache.activemq.artemis.core.protocol.stomp] AMQ332069: Sent ERROR frame to STOMP client /[0:0:0:0:0:0:0:1]:51336: Connection reset
2023-11-17 07:36:19,490 WARN  [org.apache.activemq.artemis.core.server] AMQ222067: Connection failure has been detected: Connection reset [code=GENERIC_EXCEPTION]
2023-11-17 07:36:19,494 WARN  [org.apache.activemq.artemis.core.server] AMQ222061: Client connection failed, clearing up resources for session f55efa94-8534-11ee-9ca5-000516581727
2023-11-17 07:36:19,496 WARN  [org.apache.activemq.artemis.core.server] AMQ222107: Cleared up resources for session f55efa94-8534-11ee-9ca5-000516581727
2023-11-17 07:37:11,624 INFO  [org.apache.activemq.artemis.core.server] AMQ224113: Auto removing address NewQueue
2023-11-17 07:37:35,159 WARN  [org.apache.activemq.artemis.core.protocol.stomp] AMQ332069: Sent ERROR frame to STOMP client /[0:0:0:0:0:0:0:1]:51365: Connection reset
2023-11-17 07:37:35,160 WARN  [org.apache.activemq.artemis.core.server] AMQ222067: Connection failure has been detected: Connection reset [code=GENERIC_EXCEPTION]
2023-11-17 07:37:35,167 WARN  [org.apache.activemq.artemis.core.server] AMQ222061: Client connection failed, clearing up resources for session 2b321f88-8535-11ee-9ca5-000516581727
2023-11-17 07:37:35,185 WARN  [org.apache.activemq.artemis.core.server] AMQ222107: Cleared up resources for session 2b321f88-8535-11ee-9ca5-000516581727
2023-11-17 07:41:08,398 WARN  [org.apache.activemq.artemis.core.protocol.stomp] AMQ332069: Sent ERROR frame to STOMP client /[0:0:0:0:0:0:0:1]:51389: Connection reset
2023-11-17 07:41:08,409 WARN  [org.apache.activemq.artemis.core.server] AMQ222067: Connection failure has been detected: Connection reset [code=GENERIC_EXCEPTION]
2023-11-17 07:41:08,410 WARN  [org.apache.activemq.artemis.core.server] AMQ222061: Client connection failed, clearing up resources for session bb99be7a-8535-11ee-9ca5-000516581727
2023-11-17 07:41:08,413 WARN  [org.apache.activemq.artemis.core.server] AMQ222107: Cleared up resources for session bb99be7a-8535-11ee-9ca5-000516581727
2023-11-17 07:43:42,789 WARN  [org.apache.activemq.artemis.core.protocol.stomp] AMQ332069: Sent ERROR frame to STOMP client /[0:0:0:0:0:0:0:1]:51405: Connection reset
2023-11-17 07:43:42,790 WARN  [org.apache.activemq.artemis.core.server] AMQ222067: Connection failure has been detected: Connection reset [code=GENERIC_EXCEPTION]
2023-11-17 07:43:42,792 WARN  [org.apache.activemq.artemis.core.server] AMQ222061: Client connection failed, clearing up resources for session 11b0035c-8536-11ee-9ca5-000516581727
2023-11-17 07:43:42,796 WARN  [org.apache.activemq.artemis.core.server] AMQ222107: Cleared up resources for session 11b0035c-8536-11ee-9ca5-000516581727
2023-11-17 07:48:34,177 WARN  [org.apache.activemq.artemis.core.protocol.stomp] AMQ332069: Sent ERROR frame to STOMP client /[0:0:0:0:0:0:0:1]:51454: Connection reset
2023-11-17 07:48:34,180 WARN  [org.apache.activemq.artemis.core.server] AMQ222067: Connection failure has been detected: Connection reset [code=GENERIC_EXCEPTION]
2023-11-17 07:48:34,184 WARN  [org.apache.activemq.artemis.core.server] AMQ222061: Client connection failed, clearing up resources for session a9fecbff-8536-11ee-9ca5-000516581727
2023-11-17 07:48:34,188 WARN  [org.apache.activemq.artemis.core.server] AMQ222107: Cleared up resources for session a9fecbff-8536-11ee-9ca5-000516581727
2023-11-17 07:48:41,604 INFO  [org.apache.activemq.artemis.core.server] AMQ224113: Auto removing address MyTopic
2023-11-17 07:49:34,932 WARN  [org.apache.activemq.artemis.core.protocol.stomp] AMQ332069: Sent ERROR frame to STOMP client /[0:0:0:0:0:0:0:1]:51464: Connection reset
2023-11-17 07:49:34,933 WARN  [org.apache.activemq.artemis.core.server] AMQ222067: Connection failure has been detected: Connection reset [code=GENERIC_EXCEPTION]
2023-11-17 07:49:34,934 WARN  [org.apache.activemq.artemis.core.server] AMQ222061: Client connection failed, clearing up resources for session e8731bd1-8536-11ee-9ca5-000516581727
2023-11-17 07:49:34,937 WARN  [org.apache.activemq.artemis.core.server] AMQ222107: Cleared up resources for session e8731bd1-8536-11ee-9ca5-000516581727
